id,zone,latitude,longitude,date,time,Sample_size
82,38S,321318,4322781,12.03.2014,22:40,7
82,38S,321318,4322781,12.03.2014,18:25,1
83,38S,321942,4306411,5.10.2014,19:22,1
84,38S,322403,4349442,12.09.2014,03:30,1
84,38S,322403,4349442,12.09.2014,19:25,1
85,38S,322534,4400936,7.07.2014,17:20,1
86,38S,322596,4417560,9.07.2014,20:25,4
87,38S,322877,4305756,5.10.2014,18:20,1
88,38S,324795,4316596,5.10.2014,12:15,1
89,38S,325461,4416469,8.07.2014,04:30,4
90,38S,325815,4305780,5.10.2014,20:20,1
91,38S,326265,4317059,5.10.2014,21:20,1
92,38S,326397,4312638,5.10.2014,21:25,1
93,38S,327216,4411811,9.07.2014,22:20,1
94,38S,328598,4387723,18.05.2014,23:40,12
95,38S,330048,4405367,9.07.2014,07:10,2
96,38S,330061,4392490,12.03.2014,11:20,1
96,38S,330061,4392490,12.03.2014,00:40,1
97,38S,330266,4341130,22.06.2014,01:40,25
98,38S,331235,4385759,17.05.2014,08:10,1
98,38S,331235,4385759,17.05.2014,22:25,1
99,38S,331725,4373432,14.04.2014,02:40,3
99,38S,331725,4373432,14.04.2014,23:25,1
100,38S,331978,4359858,23.10.2014,16:50,5
100,38S,331978,4359858,23.10.2014,00:25,1
101,38S,331992,4400478,12.03.2014,01:25,1
102,38S,332198,4358237,23.10.2014,02:25,1
103,38S,332221,4338280,22.06.2014,23:20,1
104,38S,332308,4401723,11.03.2014,03:25,1
105,38S,332696,4375647,13.07.2014,04:25,3
106,38S,333154,4373608,13.07.2014,03:40,1
106,38S,333154,4373608,13.07.2014,20:22,1
107,38S,333553,4419388,9.07.2014,00:20,1
108,38S,334271,4402941,31.05.2014,01:20,1
109,38S,334594,4392634,11.07.2014,17:50,1
109,38S,334594,4392634,11.07.2014,05:25,1
110,38S,334609,4417483,11.10.2014,05:30,1
110,38S,334609,4417483,11.10.2014,06:25,1
111,38S,335159,4405663,17.05.2014,02:20,1
111,38S,335159,4405663,17.05.2014,09:10,1
112,38S,335743,4406086,22.08.2014,07:25,1
113,38S,335825,4411099,9.07.2014,04:40,27
114,38S,336077,4409746,8.08.2014,08:25,1
115,38S,336281,4417626,4.09.2014,14:36,1
116,38S,336902,4383854,17.10.2014,08:00,1
117,38S,339215,4372371,18.10.2014,15:20,1
117,38S,339215,4372371,18.10.2014,05:40,1
118,38S,340000,4418121,5.09.2014,10:10,1
118,38S,340000,4418121,5.09.2014,21:22,2
119,38S,340257,4375954,17.10.2014,06:30,1
119,38S,340257,4375954,17.10.2014,09:25,1
120,38S,340398,4412497,6.07.2014,10:25,1
121,38S,341327,4373491,18.10.2014,13:15,2
122,38S,341429,4397947,4.05.2014,19:20,1
123,38S,345397,4347244,3.10.2014,03:20,1
124,38S,345549,4419465,29.10.2014,11:25,1
125,38S,346179,4420922,23.08.2014,07:30,1
125,38S,346179,4420922,23.08.2014,12:25,1
126,38S,346238,4346334,3.10.2014,08:30,2
126,38S,346238,4346334,3.10.2014,09:00,1
127,38S,347830,4398542,11.11.2014,06:40,1
128,38S,348920,4391386,24.07.2014,09:30,1
129,38S,349633,4393255,24.07.2014,,1
130,38S,350470,4396296,10.11.2014,22:22,1
131,38S,350491,4404186,4.10.2014,13:25,2
132,38S,350646,4372619,11.07.2014,14:25,1
133,38S,351089,4393682,4.05.2014,15:15,1
134,38S,351249,4368058,11.07.2014,16:15,1
135,38S,351253,4423623,29.10.2014,10:30,1
136,38S,351848,4374971,6.07.2014,11:10,1
137,38S,352286,4378708,11.07.2014,10:00,1
138,38S,352354,4399101,10.11.2014,04:20,1
139,38S,352964,4400293,10.11.2014,20:20,1
140,38S,358559,4385469,8.07.2014,05:20,3
141,38S,359928,4387630,26.09.2014,07:20,11
141,38S,359928,4387630,26.09.2014,15:25,1
142,38S,363688,4392381,15.08.2014,06:20,1
143,38S,363741,4388205,4.05.2014,16:25,1
144,38S,364601,4394866,11.07.2014,17:15,2
144,38S,364601,4394866,11.07.2014,17:25,1
145,38S,364892,4383099,8.07.2014,07:05,2
146,38S,365827,4383853,13.04.2014,12:10,1
147,38S,366221,4386507,16.08.2014,13:10,3
148,38S,369811,4370076,10.07.2014,11:30,3
149,38S,369904,4399187,12.03.2014,16:20,1
150,38S,370698,4358878,14.09.2014,23:22,1
151,38S,370720,4369540,29.05.2014,12:30,1
151,38S,370720,4369540,29.05.2014,18:25,1
152,38S,370721,4401539,20.03.2014,09:45,1
152,38S,370721,4401539,20.03.2014,16:20,6
153,38S,370760,4358940,14.09.2014,21:20,1
154,38S,371275,4386688,18.05.2014,19:25,1
155,38S,372217,4401998,17.10.2014,07:20,1
155,38S,372217,4401998,17.10.2014,13:30,1
156,38S,374538,4402261,20.03.2014,17:20,1
157,38S,375262,4399317,18.10.2014,14:30,1
157,38S,375262,4399317,18.10.2014,22:20,1
